"key","name","time","clouds","trans","seeing","wind","hum","temp"
"DrkArtsObNY","Dark Arts Observatory","11","6","2","1","3","5","9"
"DrkArtsObNY","Dark Arts Observatory","12","10","3","1","3,""5","9"
"DrkArtsObNY","Dark Arts Observatory","13","8","2","1","3","5","9"
"DrkArtsObNY","Dark Arts Observatory","14","7","1","1","3","4","9"
"DrkArtsObNY","Dark Arts Observatory","15","6","0","1","3","5","9"
"DrkArtsObNY","Dark Arts Observatory","16","5","0","1","3","5","9"
"DrkArtsObNY","Dark Arts Observatory","17","4","0","1","3","5","9"
"DrkArtsObNY","Dark Arts Observatory","18","8","1","1","3","6","9"
"DrkArtsObNY","Dark Arts Observatory","19","7","2","1","3","7","9"
"DrkArtsObNY","Dark Arts Observatory","20","10","1","1","3,""7","8"
"DrkArtsObNY","Dark Arts Observatory","21","10","1","2","3,""8,""8"
"DrkArtsObNY","Dark Arts Observatory","22","8","2","2","4","8","8"
"DrkArtsObNY","Dark Arts Observatory","23","7","2","2","4","9","8"
"DrkArtsObNY","Dark Arts Observatory","00","5","0","2","4","9","8"
"DrkArtsObNY","Dark Arts Observatory","01","8","1","2","4","9","8"
"DrkArtsObNY","Dark Arts Observatory","02","7","0","2","4","9","8"
"DrkArtsObNY","Dark Arts Observatory","03","3","0","0","4","10","8"
"DrkArtsObNY","Dark Arts Observatory","04","1","0","0","4","11","8"
"DrkArtsObNY","Dark Arts Observatory","05","1","0","0","4","10","8"
"DrkArtsObNY","Dark Arts Observatory","06","2","0","1","3","8","8"
"DrkArtsObNY","Dark Arts Observatory","07","10","2","1","3,""8,""8"
"DrkArtsObNY","Dark Arts Observatory","08","4","0","1","4","8","8"
"DrkArtsObNY","Dark Arts Observatory","09","3","0","1","4","7","8"
"DrkArtsObNY","Dark Arts Observatory","10","3","0","1","4","7","8"
